type,benchmarks,MP,SI,VP,AP,AS,PA,CE,CO,EC,NV,CL,QL,MS,MC,TaskHierarchies,keyword,2008.docs,2009.docs,2010.docs,2011.docs,2012.docs,2013.docs,2014.docs,2015.docs,2016.docs,2017.docs,2018.docs,2019.docs,2020.docs,2021.docs,2022.docs,2023.docs,2024.docs,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Dataset,CUB-200-2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification > Fine-Grained Image Classification 
Computer Vision > Object Localization > Weakly-Supervised Object Localization 
",CUB-200-2011,0,0,0,0,0,0,0,3,7,9,24,37,39,46,61,127,282,0,0,0,0,0,0,0,0.131406045,0.197461213,0.130020225,0.140383715,0.177602842,0.153283811,0.186151916,0.170386302,0.154484302,0.211826212
Dataset,FB15k,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Graphs > Link Prediction >  
",FB15k,0,0,0,0,0,1,2,2,9,16,51,80,83,73,91,159,272,0,0,0,0,0,0.166944908,0.168491997,0.08760403,0.253878702,0.231147067,0.298315395,0.384006144,0.326219392,0.295414997,0.254182844,0.193409481,0.204314645
Dataset,Pascal3D+,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation > Keypoint Detection 
",Pascal3D+,0,0,0,0,0,0,0,0,1,2,8,2,6,6,7,14,40,0,0,0,0,0,0,0,0,0.028208745,0.028893383,0.046794572,0.009600154,0.023582125,0.024280685,0.019552526,0.017029766,0.030046271
Dataset,Static Facial Expressions in the Wild,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Expression Recognition >  
Computer Vision > Facial Recognition and Modelling > Facial Expression Recognition 
",Static Facial Expressions in the Wild,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01440023,0.003930354,0.004046781,0,0,0.000751157
Dataset,20NEWS,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Text Classification > Document Classification 
Natural Language Processing > Text Classification >  
",20NEWS,3,4,3,5,3,10,16,15,20,21,44,51,34,40,50,130,185,1.948051948,1.058201058,0.906344411,0.878734622,0.368550369,1.669449082,1.347935973,0.657030223,0.564174894,0.303380526,0.257370145,0.244803917,0.13363204,0.161871231,0.139660903,0.158133538,0.138964005
Dataset,300W,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Recognition and Modelling > Facial Landmark Detection 
Computer Vision > Facial Recognition and Modelling > Face Alignment 
",300W,3,0,0,0,0,0,1,0,3,13,19,10,9,27,23,64,99,1.948051948,0,0,0,0,0,0.084245998,0,0.084626234,0.187806992,0.111137108,0.048000768,0.035373187,0.109263081,0.064244016,0.077850357,0.074364521
Dataset,ACE 2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Nested Mention Recognition >  
Natural Language Processing > Named Entity Recognition > Nested Named Entity Recognition 
",ACE 2004,0,0,0,0,0,0,0,0,0,0,2,2,3,5,10,25,24,0,0,0,0,0,0,0,0,0,0,0.011698643,0.009600154,0.011791062,0.020233904,0.027932181,0.030410296,0.018027763
Dataset,ACE 2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Nested Mention Recognition >  
",ACE 2005,0,1,0,1,0,0,1,1,2,1,8,9,10,21,43,109,91,0,0.264550265,0,0.175746924,0,0,0.084245998,0.043802015,0.056417489,0.014446692,0.046794572,0.043200691,0.039303541,0.084982397,0.120108377,0.132588889,0.068355267
Dataset,ADE20K,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Semantic Segmentation >  
",ADE20K,0,0,0,0,0,0,0,0,0,4,22,18,16,47,99,226,460,0,0,0,0,0,0,0,0,0,0.057786767,0.128685073,0.086401382,0.062885666,0.190198697,0.276528589,0.274909073,0.345532119
Dataset,Aerial-to-Map,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Generation > Image-to-Image Translation 
Computer Vision > Image-to-Image Translation >  
",Aerial-to-Map,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0,0,0
